,s,d,count,percent
404,11-12,80-90,0.0,0.0
405,11-12,90-100,0.0,0.0
406,11-12,100-110,0.0,0.0
407,11-12,110-120,0.0,0.0
408,11-12,120-130,0.0,0.0
409,11-12,130-140,0.0,0.0
410,11-12,140-150,0.0,0.0
411,11-12,150-160,0.0,0.0
412,11-12,160-170,0.0,0.0
413,11-12,170-180,0.0,0.0
414,11-12,180-190,0.0,0.0
415,11-12,190-200,0.0,0.0
416,11-12,200-210,0.0,0.0
417,11-12,210-220,1.0,0.00034328870580157915
418,11-12,220-230,2.0,0.0006865774116031583
419,11-12,230-240,1.0,0.00034328870580157915
420,11-12,240-250,1.0,0.00034328870580157915
421,11-12,250-260,0.0,0.0
422,11-12,260-270,5.0,0.0017164435290078957
423,11-12,270-280,2.0,0.0006865774116031583
424,11-12,280-290,0.0,0.0
425,11-12,290-300,1.0,0.00034328870580157915
426,11-12,300-310,0.0,0.0
427,11-12,310-320,0.0,0.0
428,11-12,320-330,1.0,0.00034328870580157915
429,11-12,330-340,0.0,0.0
430,11-12,340-350,2.0,0.0006865774116031583
431,11-12,350-360,3.0,0.0010298661174047373
432,12-13,0-10,0.0,0.0
433,12-13,10-20,0.0,0.0
434,12-13,20-30,0.0,0.0
435,12-13,30-40,0.0,0.0
436,12-13,40-50,0.0,0.0
437,12-13,50-60,0.0,0.0
438,12-13,60-70,0.0,0.0
439,12-13,70-80,0.0,0.0
440,12-13,80-90,0.0,0.0
441,12-13,90-100,0.0,0.0
442,12-13,100-110,0.0,0.0
443,12-13,110-120,0.0,0.0
444,12-13,120-130,0.0,0.0
445,12-13,130-140,0.0,0.0
446,12-13,140-150,0.0,0.0
447,12-13,150-160,0.0,0.0
448,12-13,160-170,0.0,0.0
449,12-13,170-180,0.0,0.0
450,12-13,180-190,0.0,0.0
451,12-13,190-200,3.0,0.0010298661174047373
452,12-13,200-210,2.0,0.0006865774116031583
453,12-13,210-220,0.0,0.0
454,12-13,220-230,1.0,0.00034328870580157915
455,12-13,230-240,0.0,0.0
456,12-13,240-250,1.0,0.00034328870580157915
457,12-13,250-260,1.0,0.00034328870580157915
458,12-13,260-270,2.0,0.0006865774116031583
459,12-13,270-280,0.0,0.0
460,12-13,280-290,0.0,0.0
461,12-13,290-300,1.0,0.00034328870580157915
462,12-13,300-310,0.0,0.0
463,12-13,310-320,0.0,0.0
464,12-13,320-330,0.0,0.0
465,12-13,330-340,1.0,0.00034328870580157915
466,12-13,340-350,3.0,0.0010298661174047373
467,12-13,350-360,7.0,0.002403020940611054
468,13-14,0-10,0.0,0.0
469,13-14,10-20,0.0,0.0
470,13-14,20-30,0.0,0.0
471,13-14,30-40,0.0,0.0
472,13-14,40-50,0.0,0.0
473,13-14,50-60,0.0,0.0
474,13-14,60-70,0.0,0.0
475,13-14,70-80,0.0,0.0
476,13-14,80-90,0.0,0.0
477,13-14,90-100,0.0,0.0
478,13-14,100-110,0.0,0.0
479,13-14,110-120,0.0,0.0
480,13-14,120-130,0.0,0.0
481,13-14,130-140,0.0,0.0
482,13-14,140-150,0.0,0.0
483,13-14,150-160,0.0,0.0
484,13-14,160-170,0.0,0.0
485,13-14,170-180,0.0,0.0
486,13-14,180-190,0.0,0.0
487,13-14,190-200,2.0,0.0006865774116031583
488,13-14,200-210,0.0,0.0
489,13-14,210-220,2.0,0.0006865774116031583
490,13-14,220-230,1.0,0.00034328870580157915
491,13-14,230-240,1.0,0.00034328870580157915
492,13-14,240-250,0.0,0.0
493,13-14,250-260,1.0,0.00034328870580157915
494,13-14,260-270,0.0,0.0
495,13-14,270-280,0.0,0.0
496,13-14,280-290,0.0,0.0
497,13-14,290-300,0.0,0.0
498,13-14,300-310,0.0,0.0
499,13-14,310-320,0.0,0.0
500,13-14,320-330,0.0,0.0
501,13-14,330-340,1.0,0.00034328870580157915
502,13-14,340-350,1.0,0.00034328870580157915
503,13-14,350-360,5.0,0.0017164435290078957
504,14-15,0-10,0.0,0.0
505,14-15,10-20,0.0,0.0
506,14-15,20-30,0.0,0.0
507,14-15,30-40,0.0,0.0
508,14-15,40-50,0.0,0.0
509,14-15,50-60,0.0,0.0
510,14-15,60-70,0.0,0.0
511,14-15,70-80,0.0,0.0
512,14-15,80-90,0.0,0.0
513,14-15,90-100,0.0,0.0
