Variable,date,Hour,Value
speed,31-01-2015,17:00,2.5
direction,31-01-2015,17:00,240
speed,31-01-2015,20:00,1
direction,31-01-2015,20:00,100
speed,31-01-2015,23:00,2.5
direction,31-01-2015,23:00,90
speed,01-02-2015,02:00,2.5
direction,01-02-2015,02:00,60
speed,01-02-2015,05:00,2
direction,01-02-2015,05:00,90
speed,01-02-2015,08:00,4
direction,01-02-2015,08:00,70
speed,01-02-2015,11:00,1.5
direction,01-02-2015,11:00,250
speed,01-02-2015,14:00,3
direction,01-02-2015,14:00,260
speed,01-02-2015,17:00,3.5
direction,01-02-2015,17:00,340
speed,01-02-2015,20:00,1.5
direction,01-02-2015,20:00,80
speed,01-02-2015,23:00,2.5
direction,01-02-2015,23:00,80
speed,02-02-2015,02:00,3
direction,02-02-2015,02:00,70
speed,02-02-2015,05:00,4
direction,02-02-2015,05:00,70
speed,02-02-2015,08:00,1
direction,02-02-2015,08:00,110
speed,02-02-2015,11:00,3
direction,02-02-2015,11:00,200
speed,02-02-2015,14:00,4.5
direction,02-02-2015,14:00,210
speed,02-02-2015,17:00,3
direction,02-02-2015,17:00,200
speed,02-02-2015,20:00,1
direction,02-02-2015,20:00,120
speed,02-02-2015,23:00,2.5
direction,02-02-2015,23:00,120
speed,03-02-2015,02:00,2.5
direction,03-02-2015,02:00,120
speed,03-02-2015,05:00,3
direction,03-02-2015,05:00,120
speed,03-02-2015,08:00,3
direction,03-02-2015,08:00,120
speed,03-02-2015,11:00,6.5
direction,03-02-2015,11:00,200
speed,03-02-2015,14:00,5.5
direction,03-02-2015,14:00,210
speed,03-02-2015,17:00,5
direction,03-02-2015,17:00,290
speed,03-02-2015,20:00,4.5
direction,03-02-2015,20:00,260
speed,03-02-2015,23:00,4.5
direction,03-02-2015,23:00,260
speed,04-02-2015,02:00,1.5
direction,04-02-2015,02:00,140
speed,04-02-2015,05:00,1.5
direction,04-02-2015,05:00,120
speed,04-02-2015,08:00,4
direction,04-02-2015,08:00,150
speed,04-02-2015,11:00,6
direction,04-02-2015,11:00,270
speed,04-02-2015,14:00,4.5
direction,04-02-2015,14:00,280
speed,04-02-2015,17:00,3.5
direction,04-02-2015,17:00,310
speed,04-02-2015,20:00,2
direction,04-02-2015,20:00,90
speed,04-02-2015,23:00,1
direction,04-02-2015,23:00,80
speed,05-02-2015,02:00,2.5
direction,05-02-2015,02:00,80
speed,05-02-2015,05:00,3.5
direction,05-02-2015,05:00,70
speed,05-02-2015,08:00,4.5
direction,05-02-2015,08:00,70
speed,05-02-2015,11:00,5.5
direction,05-02-2015,11:00,70
speed,05-02-2015,14:00,6
direction,05-02-2015,14:00,50
speed,05-02-2015,17:00,11
direction,05-02-2015,17:00,10
speed,05-02-2015,20:00,3.5
direction,05-02-2015,20:00,50
speed,05-02-2015,23:00,3
direction,05-02-2015,23:00,60
speed,06-02-2015,02:00,4.5
direction,06-02-2015,02:00,70
speed,06-02-2015,05:00,5.5
direction,06-02-2015,05:00,70
speed,06-02-2015,08:00,6
direction,06-02-2015,08:00,80
speed,06-02-2015,11:00,4.5
direction,06-02-2015,11:00,90
speed,06-02-2015,14:00,4
direction,06-02-2015,14:00,100
speed,06-02-2015,17:00,3
direction,06-02-2015,17:00,150
speed,06-02-2015,20:00,4.5
direction,06-02-2015,20:00,70
speed,06-02-2015,23:00,2.5
direction,06-02-2015,23:00,90
speed,07-02-2015,02:00,5.5
direction,07-02-2015,02:00,140
speed,07-02-2015,05:00,5
direction,07-02-2015,05:00,100
speed,07-02-2015,08:00,2.5
direction,07-02-2015,08:00,70
speed,07-02-2015,11:00,3
direction,07-02-2015,11:00,240
speed,07-02-2015,14:00,5.5
direction,07-02-2015,14:00,200
speed,07-02-2015,17:00,3.5
direction,07-02-2015,17:00,220
speed,07-02-2015,20:00,3
direction,07-02-2015,20:00,250
speed,07-02-2015,23:00,4.5
direction,07-02-2015,23:00,250
speed,08-02-2015,02:00,6.5
direction,08-02-2015,02:00,270
speed,08-02-2015,05:00,7
direction,08-02-2015,05:00,290
speed,08-02-2015,08:00,5
direction,08-02-2015,08:00,250
speed,08-02-2015,11:00,5
direction,08-02-2015,11:00,250
speed,08-02-2015,14:00,5.5
direction,08-02-2015,14:00,250
speed,08-02-2015,17:00,5.5
direction,08-02-2015,17:00,250
speed,08-02-2015,20:00,4.5
direction,08-02-2015,20:00,230
speed,08-02-2015,23:00,4.5
direction,08-02-2015,23:00,230
speed,09-02-2015,02:00,5
direction,09-02-2015,02:00,150
speed,09-02-2015,05:00,5
direction,09-02-2015,05:00,150
speed,09-02-2015,08:00,5
direction,09-02-2015,08:00,150
speed,09-02-2015,11:00,9.5
direction,09-02-2015,11:00,200
speed,09-02-2015,14:00,8.5
direction,09-02-2015,14:00,200
speed,09-02-2015,17:00,7
direction,09-02-2015,17:00,230
speed,09-02-2015,20:00,4
direction,09-02-2015,20:00,230
speed,09-02-2015,23:00,4.5
direction,09-02-2015,23:00,150
speed,10-02-2015,02:00,2.5
direction,10-02-2015,02:00,110
speed,10-02-2015,05:00,3.5
direction,10-02-2015,05:00,120
speed,10-02-2015,08:00,6
direction,10-02-2015,08:00,150
speed,10-02-2015,11:00,12.5
direction,10-02-2015,11:00,210
speed,10-02-2015,14:00,12.5
direction,10-02-2015,14:00,210
speed,10-02-2015,17:00,10.5
direction,10-02-2015,17:00,220
speed,10-02-2015,20:00,13.5
direction,10-02-2015,20:00,220
speed,10-02-2015,23:00,14
direction,10-02-2015,23:00,230
speed,11-02-2015,02:00,12.5
direction,11-02-2015,02:00,230
speed,11-02-2015,05:00,12.5
direction,11-02-2015,05:00,200
speed,11-02-2015,08:00,11
direction,11-02-2015,08:00,180
speed,11-02-2015,11:00,15
direction,11-02-2015,11:00,200
speed,11-02-2015,14:00,16
direction,11-02-2015,14:00,220
speed,11-02-2015,17:00,14
direction,11-02-2015,17:00,240
speed,11-02-2015,20:00,11.5
direction,11-02-2015,20:00,230
speed,11-02-2015,23:00,12
direction,11-02-2015,23:00,230
speed,12-02-2015,02:00,10.5
direction,12-02-2015,02:00,260
speed,12-02-2015,05:00,11.5
direction,12-02-2015,05:00,220
speed,12-02-2015,08:00,10.5
direction,12-02-2015,08:00,200
speed,12-02-2015,11:00,12.5
direction,12-02-2015,11:00,200
speed,12-02-2015,14:00,12.5
direction,12-02-2015,14:00,200
speed,12-02-2015,17:00,11
direction,12-02-2015,17:00,200
speed,12-02-2015,20:00,9.5
direction,12-02-2015,20:00,210
speed,12-02-2015,23:00,6.5
direction,12-02-2015,23:00,150
speed,13-02-2015,02:00,6
direction,13-02-2015,02:00,170
speed,13-02-2015,05:00,7
direction,13-02-2015,05:00,170
speed,13-02-2015,08:00,6
direction,13-02-2015,08:00,180
speed,13-02-2015,11:00,13.5
direction,13-02-2015,11:00,200
speed,13-02-2015,14:00,8.5
direction,13-02-2015,14:00,210
speed,13-02-2015,17:00,8.5
direction,13-02-2015,17:00,240
